month,ticker,month_end_close,monthly_return
2021-09,EFA,66.643,
2021-10,EFA,68.7616,0.031790285551370756
2021-11,EFA,65.6434,-0.0453479849218168
2021-12,EFA,68.5258,0.04390997419390219
2022-01,EFA,66.0349,-0.03634981277124838
2022-02,EFA,63.7704,-0.0342924726167525
2022-03,EFA,64.1014,0.005190495904055847
2022-04,EFA,59.7815,-0.06739166383261519
2022-05,EFA,60.9747,0.019959351973436457
2022-06,EFA,55.6293,-0.08766586797475018
2022-07,EFA,58.5047,0.05168858856753533
2022-08,EFA,54.926,-0.06116944450616779
2022-09,EFA,49.8607,-0.09222044204930269
2022-10,EFA,52.7984,0.05891814595462952
2022-11,EFA,59.751,0.13168202066729284
2022-12,EFA,58.6677,-0.018130240498066885
2023-01,EFA,63.95,0.09003761865558046
2023-02,EFA,61.9837,-0.030747458952306572
2023-03,EFA,63.9232,0.03129048443381088
2023-04,EFA,65.8001,0.02936179665598715
2023-05,EFA,63.1635,-0.04006984791816426
2023-06,EFA,65.9869,0.0446998662202065
2023-07,EFA,67.7708,0.027034153748698442
2023-08,EFA,65.104,-0.039350280651844094
2023-09,EFA,62.7285,-0.03648777340869991
2023-10,EFA,60.9082,-0.02901870760499603
2023-11,EFA,65.9141,0.08218762005772628
2023-12,EFA,69.4411,0.05350903676148211
2024-01,EFA,69.1278,-0.0045117372852678805
2024-02,EFA,71.1921,0.029862081535937834
2024-03,EFA,73.5975,0.033787456754330814
2024-04,EFA,71.2106,-0.03243180814565705
2024-05,EFA,74.8139,0.05060061283011241
2024-06,EFA,73.4473,-0.018266659003206676
2024-07,EFA,75.3507,0.025915179999809412
2024-08,EFA,77.8074,0.03260354581974689
2024-09,EFA,78.4169,0.00783344514789075
2024-10,EFA,74.2818,-0.05273225541943116
2024-11,EFA,74.0474,-0.003155550888643055
2024-12,EFA,71.8629,-0.029501373444577372
2025-01,EFA,75.313,0.0480094735948593
2025-02,EFA,77.537,0.029530094406012397
2025-03,EFA,77.6796,0.001839121967576629
2025-04,EFA,80.5499,0.03695049923017102
2025-05,EFA,84.4087,0.04790570813868178
2025-06,EFA,86.4313,0.02396198496126578
2025-07,EFA,84.6232,-0.020919504855301252
2025-08,EFA,88.4521,0.0452464572363136
2025-09,EFA,90.2796,0.02066090008038257
2025-10,EFA,91.3625,0.011994957886388491
2025-11,EFA,92.0393,0.007407853331509173
2025-12,EFA,94.534,0.027104725915994665
2026-01,EFA,99.1707,0.04904796157996061
2026-02,EFA,103.7384,0.04605896701344259
2026-03,EFA,95.6169,-0.07828827126695614
2026-04,EFA,100.7261,0.0534340686635939
2026-05,EFA,103.1674,0.02423701503383935
2026-06,EFA,103.88,0.006907220691807714
2026-07,EFA,105.58,0.01636503658067001
2026-08,EFA,107.45,0.017711687819662814
2026-09,EFA,104.5,-0.027454630060493312
2021-09,GLD,164.22,
2021-10,GLD,166.65,0.01479722323712096
2021-11,GLD,165.5,-0.006900690069006954
2021-12,GLD,170.96,0.03299093655589136
2022-01,GLD,168.09,-0.01678755264389331
2022-02,GLD,178.38,0.0612172050687132
2022-03,GLD,180.65,0.0127256418881041
2022-04,GLD,176.91,-0.02070301688347642
2022-05,GLD,171.14,-0.032615454185744186
2022-06,GLD,168.46,-0.015659693817926756
2022-07,GLD,164.1,-0.025881514899679492
2022-08,GLD,159.27,-0.029433272394881027
2022-09,GLD,154.67,-0.02888177308972195
2022-10,GLD,151.91,-0.017844443007693722
2022-11,GLD,164.81,0.08491870186294515
2022-12,GLD,169.64,0.02930647412171572
2023-01,GLD,179.41,0.05759254892713983
2023-02,GLD,169.78,-0.05367593779610946
2023-03,GLD,183.22,0.07916126752267649
2023-04,GLD,184.8,0.008623512716952275
2023-05,GLD,182.32,-0.013419913419913554
2023-06,GLD,178.27,-0.02221369021500652
2023-07,GLD,182.35,0.022886632635889192
2023-08,GLD,180.02,-0.012777625445571594
2023-09,GLD,171.45,-0.047605821575380625
2023-10,GLD,184.09,0.0737241178186061
2023-11,GLD,188.75,0.02531370525286536
2023-12,GLD,191.17,0.012821192052980157
2024-01,GLD,188.45,-0.014228173876654315
2024-02,GLD,189.31,0.004563544706818856
2024-03,GLD,205.72,0.08668321800221856
2024-04,GLD,211.87,0.029895002916585645
2024-05,GLD,215.3,0.016189172605843183
2024-06,GLD,215.01,-0.0013469577333953264
2024-07,GLD,226.55,0.05367192223617523
2024-08,GLD,231.29,0.02092253365702934
2024-09,GLD,243.06,0.05088849496303349
2024-10,GLD,253.51,0.04299349954743681
2024-11,GLD,245.59,-0.031241371149067
2024-12,GLD,242.13,-0.014088521519605934
2025-01,GLD,258.56,0.06785611035394212
2025-02,GLD,263.27,0.018216274752475226
2025-03,GLD,288.14,0.09446575758726783
2025-04,GLD,303.77,0.05424446449642528
2025-05,GLD,303.6,-0.00055963393356806
2025-06,GLD,304.83,0.004051383399209296
2025-07,GLD,302.96,-0.006134566807728947
2025-08,GLD,318.07,0.04987457090044889
2025-09,GLD,355.47,0.11758417958311074
2025-10,GLD,368.12,0.0355866880468112
2025-11,GLD,387.88,0.05367814842985985
2025-12,GLD,396.31,0.021733525832731804
2026-01,GLD,444.95,0.12273220458731804
2026-02,GLD,483.75,0.08720080907967187
2026-03,GLD,430.29,-0.11051162790697666
2026-04,GLD,423.66,-0.015408213065606913
2026-05,GLD,417.12,-0.015436906953689378
2026-06,GLD,368.38,-0.11684886843114695
2026-07,GLD,371.54,0.008578098702426873
2026-08,GLD,408.42,0.09926252893362753
2026-09,GLD,391.69,-0.040962734440037285
2021-09,IWM,205.6362,
2021-10,IWM,214.3787,0.04251440164718079
2021-11,IWM,205.091,-0.0433238003588976
2021-12,IWM,209.7496,0.022714794895924095
2022-01,IWM,189.7506,-0.09534702330779177
2022-02,IWM,191.7119,0.010336199200424279
2022-03,IWM,193.931,0.01157518130069124
2022-04,IWM,174.7334,-0.09899190949358283
2022-05,IWM,175.0735,0.0019463937632988593
2022-06,IWM,160.4263,-0.08366314719246482
2022-07,IWM,177.3726,0.10563292926409207
2022-08,IWM,173.8204,-0.020026768508777604
2022-09,IWM,157.0286,-0.09660431111653178
2022-10,IWM,174.5576,0.11162934650121059
2022-11,IWM,178.4043,0.022036852019047037
2022-12,IWM,166.7829,-0.06514080658369781
2023-01,IWM,183.1589,0.09818752402074771
2023-02,IWM,180.0023,-0.017234215754735382
2023-03,IWM,171.277,-0.04847326950822295
2023-04,IWM,168.2047,-0.017937609836697233
2023-05,IWM,166.8318,-0.008162078705291953
2023-06,IWM,180.2907,0.08067346872718506
2023-07,IWM,191.3044,0.061088564191053685
2023-08,IWM,181.5808,-0.05082789522875575
2023-09,IWM,170.9517,-0.05853647522205008
2023-10,IWM,159.1319,-0.06914116677400683
2023-11,IWM,173.7761,0.09202554610357838
2023-12,IWM,194.8485,0.12126178456070758
2024-01,IWM,187.2472,-0.0390113344470191
2024-02,IWM,197.7803,0.05625237653753978
2024-03,IWM,204.6768,0.03486949913616266
2024-04,IWM,190.6619,-0.06847331988774485
2024-05,IWM,200.268,0.050382902929216655
2024-06,IWM,198.0162,-0.011243933129606365
2024-07,IWM,218.4825,0.10335669505828315
2024-08,IWM,214.7933,-0.016885562916938435
2024-09,IWM,216.3195,0.007105435784077185
2024-10,IWM,213.2542,-0.014170243551783424
2024-11,IWM,236.8653,0.11071810074549515
2024-12,IWM,217.0305,-0.08373873252012853
2025-01,IWM,222.4523,0.02498174219752536
2025-02,IWM,210.8327,-0.052234119404474644
2025-03,IWM,196.382,-0.06854107545935706
2025-04,IWM,191.8241,-0.02320935727306994
2025-05,IWM,201.8751,0.052396961591374636
2025-06,IWM,213.0154,0.05518412127102357
2025-07,IWM,216.5691,0.016682831382144103
2025-08,IWM,232.1462,0.07192669683717567
2025-09,IWM,239.5264,0.03179117297633982
2025-10,IWM,243.7535,0.017647741543312057
2025-11,IWM,246.2481,0.010234109458941099
2025-12,IWM,244.5014,-0.007093252699208685
2026-01,IWM,257.9005,0.05480173119663134
2026-02,IWM,259.6486,0.006778195466856207
